WorkstationGroupID,Number of Items,Service Time,Time between arrivals,Regular Checkout Number of Items,Regular Checkout Service Times,Self Checkout Number of Items,Self Checkout Service Times,,,,,,,,
1,23,135,17,14,79,20,287,,,,,,,,
1,5,40,1,14,65,5,66,,,,,,,,
1,37,103,6,10,39,15,221,,,,,,,,
1,7,64,0,5,37,7,129,,,,,,,,
1,45,132,0,16,75,1,170,,,,,,,,
1,22,95,1,12,52,17,177,,,,,,,,
8,3,57,11,1,12,7,216,,,,,,,,
1,11,103,7,46,157,2,77,,,,,,,,
1,4,72,12,14,83,22,341,,,,,,,,
1,22,121,2,1,25,10,154,,,,,,,,
1,8,71,17,13,90,3,61,,,,,,,,
1,28,209,8,4,32,2,34,,,,,,,,
8,1,52,6,7,71,1,52,,,,,,,,
1,7,63,26,14,54,6,68,,,,,,,,
1,6,60,1,17,72,29,593,,,,,,,,
1,11,141,4,3,39,5,74,,,,,,,,
1,51,298,2,10,112,7,122,,,,,,,,
1,12,60,7,9,49,5,114,,,,,,,,
1,18,76,6,19,125,1,108,,,,,,,,
8,9,122,1,4,18,12,144,,,,,,,,
1,24,116,4,4,34,4,74,,,,,,,,
1,12,80,12,9,69,13,387,,,,,,,,
1,3,54,5,9,43,1,58,,,,,,,,
1,3,32,18,9,78,7,199,,,,,,,,
1,16,102,2,16,64,14,117,,,,,,,,
1,2,32,1,10,72,4,58,,,,,,,,
8,23,281,4,4,54,5,183,,,,,,,,
1,9,45,7,22,91,3,216,,,,,,,,
1,2,40,16,17,126,2,102,,,,,,,,
1,6,72,1,2,43,3,73,,,,,,,,
1,16,60,3,25,92,7,76,,,,,,,,
1,10,39,11,24,168,6,107,,,,,,,,
1,5,66,7,32,94,2,59,,,,,,,,
1,9,56,2,17,86,3,85,,,,,,,,
1,22,163,23,6,38,4,224,,,,,,,,
1,22,116,5,16,142,2,49,,,,,,,,
1,25,123,0,1,13,6,161,,,,,,,,
8,22,231,9,3,21,1,80,,,,,,,,
1,22,107,11,13,80,8,243,,,,,,,,
1,34,142,0,4,31,1,138,,,,,,,,
1,2,31,6,21,131,15,456,,,,,,,,
1,11,51,1,44,133,9,160,,,,,,,,
1,12,90,2,3,27,1,125,,,,,,,,
1,108,262,13,32,104,2,51,,,,,,,,
8,20,435,9,11,86,1,55,,,,,,,,
1,9,50,20,18,95,28,391,,,,,,,,
8,14,226,6,15,64,3,85,,,,,,,,
1,11,68,24,15,200,3,152,,,,,,,,
1,5,75,10,15,120,5,150,,,,,,,,
1,16,72,5,26,117,4,77,,,,,,,,
1,16,71,1,12,51,3,84,,,,,,,,
1,7,79,6,14,53,2,279,,,,,,,,
1,22,68,22,12,55,16,144,,,,,,,,
1,9,62,5,20,279,12,359,,,,,,,,
8,7,82,11,5,49,6,265,,,,,,,,
1,9,72,1,5,84,1,142,,,,,,,,
1,44,139,14,14,117,2,198,,,,,,,,
